Record_ID,Date,Area_ID,Population,Population_Density,Household_Size,Per_Capita_Income,Urban_Rural_Type,Temperature_C,Rainfall_mm,Humidity_percent,Season,Day_Type,Festival_Event,Water_Demand,Past_Waste_t1_tons,Past_Waste_t7_tons,Past_Waste_t30_tons,Organic_Waste_percent,Plastic_Waste_percent,Paper_Waste_percent,Other_Waste_percent,Collection_Frequency_per_week,Vehicle_ID,Vehicle_Capacity_kg,Current_Load_kg,Fuel_Consumption_km_per_l,Vehicle_Location_Lat,Vehicle_Location_Long,Traffic_Congestion_Level,Road_ID,Distance_km,Travel_Time_min,Road_Type,Road_Condition,One_Way_Flag,Toll_Road,Recycling_Rate_percent,Disaster_Event,Waste_Generated_tons,,,
2474,12-05-2024,20,59431,17855.52972,2,219227,Urban,39.1,75.5,76,Monsoon,Weekend,None,7713.81,313.45,1156.23,6036.29,42.3,29.8,14.1,15,2,38,2000,7018.9,5.87,35.450457,71.968011,Medium,229,24.55,52.9,Highway,Poor,0,0,17.3,Cyclone,118.86,,,
2475,01-07-2024,47,283900,13210.53844,6,162109,Rural,23.9,218.3,93.9,Winter,Weekday,None,38570.64,103.95,3360.51,11729.82,48.9,24.7,9.1,10.3,2,46,8000,3514.9,5.62,29.959354,91.202915,High,289,9.09,159.5,Main_Road,Average,0,0,18.7,Flood,567.8,,,
2476,02-03-2024,87,156836,21087.44902,3,334277,Urban,41.2,87.8,40.1,Winter,Weekday,None,20770.36,102.8,1230.99,8358.25,64.5,26.7,18,11.9,4,39,3000,3654.6,3.56,13.431794,70.274915,Low,401,1.07,5.8,Main_Road,Average,0,0,38,None,313.67,,,
2477,06-08-2024,53,195984,6733.407728,2,489361,Urban,34.2,178.8,75.4,Winter,Weekend,None,26160.45,414.39,1968.56,1294.23,46.8,19.4,8.7,15,2,50,5000,3340.2,5.73,35.570412,89.596433,Low,257,52.65,55.6,Highway,Good,0,1,52,None,391.97,,,
2478,02-09-2024,53,438601,22730.10615,6,309458,Urban,18.1,171.6,66,Winter,Weekday,Local_Festival,61435.7,276.88,149.22,1642.69,45.3,16.2,7.2,11,2,39,8000,5692.6,3.73,36.489222,68.847289,High,206,40.97,115.8,Residential,Average,1,0,32.3,None,877.2,,,
2479,17-08-2024,1,151104,16101.00845,6,72720,Urban,43.2,120.7,61.1,Monsoon,Weekend,None,19986.78,160.23,1251.89,4168.66,68,22.9,16,5.3,2,45,8000,3274.7,2.42,26.49516,92.675393,Medium,276,1.42,121.6,Main_Road,Average,0,1,32.6,None,302.21,,,
2480,19-03-2024,2,231086,11248.36809,5,471183,Urban,20.3,161.8,76.9,Winter,Weekday,Local_Festival,31066.83,276.65,227.19,5818.32,44.6,13.4,16.1,11.4,6,15,5000,5700.7,3.03,29.577718,96.800153,High,15,31.77,158.4,Highway,Average,1,0,52.2,Cyclone,462.17,,,
2481,28-05-2024,58,181774,24563.65263,4,491890,Rural,29.1,35.5,45.5,Summer,Weekday,None,24187.35,216.91,3057.38,14493.72,60.4,13.7,15.4,7.4,2,50,3000,5095,2.89,16.30175,83.64779,Medium,266,10.91,57.6,Main_Road,Poor,1,0,51.7,None,363.55,,,
2482,17-05-2024,19,147957,21619.34562,7,258791,Urban,29,262.9,50.2,Monsoon,Weekend,Local_Festival,19552.94,475.7,2884.92,13634.45,66,25,16,12.1,2,30,3000,6680.2,3.42,29.424496,92.799807,Low,109,38.51,173.9,Highway,Average,1,0,43.7,None,295.91,,,
2483,09-11-2024,62,276940,19414.51481,5,453630,Rural,33.8,62.1,55,Winter,Weekday,National_Festival,37568.23,104.68,940.56,8632.75,62.6,13.5,17.2,12.3,6,3,3000,654.2,4.99,17.015368,79.686981,Low,438,51.45,32.6,Highway,Average,0,0,26.9,None,553.88,,,
2484,05-03-2024,78,371727,7210.610541,4,53379,Rural,34.9,264.1,41.9,Winter,Weekday,None,51393.06,333.84,3485.31,3123.05,65,29.8,18.5,10.9,6,27,8000,1322.3,5.61,9.367251,91.715514,Low,40,15.02,93.3,Residential,Good,1,0,18,None,743.45,,,
2485,13-01-2024,72,168935,24356.64716,3,299633,Rural,22,155.6,61.1,Winter,Weekday,None,22424.68,456.97,1763.57,14719.42,63.1,25.1,5.5,14.1,4,44,2000,3620.8,3.67,28.537382,92.760229,Medium,128,3.49,176.9,Main_Road,Average,1,1,13.9,None,337.87,,,
2486,31-07-2024,12,86014,18703.19382,5,237731,Urban,25.6,184.2,38.6,Winter,Weekday,None,11224.87,362.19,710.67,8138.98,57.4,28.3,14.8,12.6,6,33,8000,4727.8,3.72,20.988755,68.053381,High,165,11.45,93.6,Main_Road,Good,0,0,19.9,None,172.03,,,
2487,29-08-2024,26,168189,15327.82346,7,446367,Urban,19.3,77.2,50.7,Winter,Weekday,National_Festival,22322.47,196.72,1026.48,8907.6,49.2,19.7,9.4,13.9,3,14,8000,3118.3,2.45,9.561692,89.771373,High,275,33.5,154.1,Highway,Average,0,1,40.4,None,336.38,,,
2488,31-07-2024,27,418969,23084.08111,2,287021,Urban,18.8,66.7,37.4,Winter,Weekend,None,58460.13,374.46,1119.62,7508.28,51.1,20.1,13.7,12.2,5,19,2000,4825.4,4.56,11.195689,71.248725,High,369,35.56,80.6,Highway,Good,0,0,43.9,None,837.94,,,
2489,29-06-2024,29,287469,4473.451207,5,104758,Urban,39.8,147.2,32.3,Monsoon,Weekend,Local_Festival,39083.08,120,574.41,7939.88,41.9,26.5,17.9,10.9,6,32,3000,1736.3,3.4,15.072153,78.334073,Medium,499,42.45,93.3,Residential,Good,1,0,47.9,None,574.94,,,
2490,03-12-2024,15,405237,3905.893293,3,297704,Urban,37.5,80.2,53.1,Summer,Weekday,None,56395.8,359.91,1884.57,10879.76,57.9,21,16,5,2,47,8000,6706.8,2.29,13.2561,83.648273,High,423,29.42,103.5,Highway,Poor,0,0,27.6,None,810.47,,,
2491,21-06-2024,46,478937,14310.97865,7,494868,Urban,28.3,126.9,70.1,Winter,Weekday,None,67601.6,394.32,770.14,2828.07,42.8,10.6,7.9,8.8,3,36,5000,3648.9,5.65,32.358815,83.943963,Low,310,50.44,120.8,Highway,Good,0,0,12.2,None,957.87,,,
2492,08-06-2024,1,260152,1889.483118,3,386284,Urban,17.9,132.1,39.9,Winter,Weekday,Local_Festival,35174.96,191.08,334.67,7528.91,58.8,18.2,13.6,10.7,4,36,2000,7064.1,2.61,18.818942,77.383842,Medium,227,28.6,101.3,Residential,Good,0,0,21.1,Flood,520.3,,,
2493,12-06-2024,60,58096,16767.67812,2,118187,Urban,28.5,81.3,94.6,Winter,Weekday,None,7539.28,279.73,3494.03,2380,57.1,23.7,7.6,9.2,6,18,3000,4075.4,3.03,10.396525,80.396674,Low,426,14.86,106.1,Highway,Good,1,0,13.6,None,116.19,,,
2494,06-07-2024,92,207476,6398.157884,5,328452,Urban,23.8,87.5,47.8,Monsoon,Weekend,National_Festival,27754.94,284.41,2600.9,2906.38,46.7,15.8,8.7,10.2,6,3,2000,1005.6,2.49,22.177599,85.267545,Medium,84,49.24,49.5,Highway,Good,1,1,14.7,None,414.95,,,
2495,09-07-2024,57,149143,3416.15116,4,205833,Urban,38.3,291.9,31.5,Winter,Weekday,National_Festival,19716.72,280.25,3153.6,6913.17,64.9,10.6,11,8.6,3,30,5000,7651.8,3.48,12.789114,94.669532,High,407,55.15,22.4,Main_Road,Good,0,0,32.2,None,298.29,,,
2496,03-11-2024,3,331793,10532.64832,2,125304,Urban,17.9,176.2,31.8,Monsoon,Weekday,None,45487.23,104.17,207.01,3512.01,66,23.4,14.2,10.4,5,39,5000,1086.4,5.36,11.918426,76.282854,Low,272,16.97,29.7,Residential,Average,0,1,40.5,None,663.59,,,
2497,12-09-2024,18,275185,11915.76585,2,446374,Urban,28.5,249.6,73.3,Monsoon,Weekday,None,37314.55,317.54,1197.89,14326.07,41,26.1,13.1,10,6,32,8000,2996.2,3.8,23.112572,78.138671,Medium,165,25.18,176.5,Highway,Average,0,0,43.5,None,550.37,,,
2498,01-07-2024,52,218123,4676.879165,6,204847,Urban,32.7,13.7,73.5,Summer,Weekday,None,29242.83,206.11,940.99,2047.84,50.9,17.1,9.7,7.5,3,9,8000,1210.5,3,14.383323,70.013626,Medium,326,8.94,114.8,Main_Road,Average,1,1,27.8,None,436.25,,,
2499,26-04-2024,60,45058,1517.614138,3,480061,Rural,44.6,0.6,88.7,Monsoon,Weekday,Local_Festival,5829.36,71.05,3106.77,14742.52,58.9,14.3,17.4,8.6,4,30,3000,1859.4,5.3,14.757678,69.538441,High,41,5.48,36.9,Highway,Good,0,1,38.2,None,90.12,,,
2500,08-10-2024,34,53263,10644.36199,6,458701,Rural,17.7,155.7,35.9,Summer,Weekend,National_Festival,6904.18,32.48,3277.68,14143.38,56,29.1,16.1,8.1,6,37,3000,3363.5,4.25,23.747456,79.75575,Medium,474,21.57,45.4,Highway,Poor,1,0,8.4,None,106.53,,,
2501,14-07-2024,96,227574,19108.39523,6,165857,Rural,18.4,248,54.5,Winter,Weekend,None,30575.64,412.62,1528.87,12278.35,55.4,21.9,10.7,13.2,2,13,2000,2812.8,3.12,36.733912,75.465972,Low,266,8.79,159.4,Main_Road,Good,0,1,26.6,Heatwave,455.15,,,
2502,03-02-2024,93,109820,21917.89438,7,245624,Urban,44.6,183.3,87.8,Winter,Weekday,None,14398.13,380.77,1659.31,8689.76,69.7,12.2,12.7,6,3,27,3000,6780.9,4.3,36.570752,68.255303,Low,279,8.25,66.6,Residential,Poor,1,0,16.3,None,219.64,,,
2503,21-02-2024,89,112645,2889.933206,7,160946,Urban,27.2,185.6,81.8,Winter,Weekday,None,14777.17,466.04,3447.47,7155.45,51.9,18.2,7.4,6.2,6,21,3000,7232.7,3.94,36.868923,69.177953,Medium,358,53.31,152.1,Residential,Average,0,0,53.1,None,225.29,,,
2504,21-04-2024,60,180542,13354.54884,3,434444,Rural,37.3,41.8,45.2,Winter,Weekday,None,24016.1,241.59,1576.27,10963.59,64.5,18.8,18.5,13.1,4,38,3000,5314.7,4.99,9.849537,91.261764,Low,143,31.01,53.3,Main_Road,Good,1,0,43.4,None,361.08,,,
2505,08-09-2024,26,223898,6953.373226,7,163002,Rural,38.5,293.6,87.8,Monsoon,Weekday,None,30056.96,308.76,1651.39,1809.79,56.7,18.1,11.7,8.9,5,23,5000,6194.6,3.78,33.553044,88.072071,Medium,337,20.3,91.6,Highway,Good,1,0,41.8,None,447.8,,,
2506,22-03-2024,72,494454,9678.529805,5,146791,Rural,24.4,158.9,74.3,Summer,Weekday,Local_Festival,70008.75,36.42,2906.83,8468.11,62.7,12.5,16.6,8.5,2,19,3000,2028.1,5.97,24.109466,83.292667,High,303,9.41,86.3,Highway,Good,0,0,41.6,Flood,988.91,,,
2507,19-08-2024,19,295367,23369.32483,4,246398,Rural,21.4,30.8,47.2,Monsoon,Weekend,None,40222.65,154,2859.98,13477.9,49.6,28.6,9.2,10.1,6,2,3000,1485.2,2.96,33.993652,92.611117,Low,467,45.86,83.8,Residential,Average,0,0,22.4,None,590.73,,,
2508,14-08-2024,22,300719,9125.831937,4,333931,Urban,23.3,124.3,32.9,Winter,Weekday,None,40987.61,376.88,526.25,9087.52,49.4,27.9,16.3,8.7,2,20,5000,1993.8,4.26,33.651898,68.580865,Medium,356,42.4,144.8,Highway,Poor,0,0,40.5,None,601.44,,,
2509,20-08-2024,93,444015,9450.975289,4,271460,Rural,37.9,21.6,62.3,Monsoon,Weekend,None,62251.59,141.66,2495.88,4833.52,63.9,27.2,6.7,6.1,6,38,5000,4611.6,3.22,27.210111,94.500439,Medium,302,31.14,36,Highway,Average,1,0,15.1,None,888.03,,,
2510,08-08-2024,33,245776,5630.197731,4,285191,Urban,40.2,125.4,76.4,Winter,Weekend,National_Festival,33134.97,60.56,2245.46,6088.99,40.9,26.3,7.8,6.9,3,34,5000,7545.7,4.87,11.125581,95.002966,High,423,30.83,151.6,Residential,Average,0,0,25.2,None,491.55,,,
2511,11-02-2024,38,288805,24020.45124,5,440468,Urban,36,213.5,47.5,Summer,Weekday,None,39272.9,35.73,2675.76,10682.59,41.4,21.2,9.5,8.7,5,36,2000,7364,5.55,35.64725,73.086247,Medium,479,13.28,50.2,Residential,Good,1,1,37.6,None,577.61,,,
2512,21-01-2024,35,480191,11683.94024,7,98793,Urban,28.2,97.1,41,Monsoon,Weekday,None,67794.81,229.38,1929.44,906.71,65.3,22,18,14,5,15,5000,4580.8,4.07,29.510304,75.012861,Medium,79,25.33,137.4,Highway,Good,1,1,31.5,None,960.38,,,
2513,11-02-2024,67,303576,14474.60728,3,57153,Urban,22.9,93.9,34.9,Summer,Weekday,None,41401.19,438.03,3452.41,9482.55,65.7,25.8,19.1,9.4,6,38,2000,7567,2.37,25.339325,80.349567,High,337,23.8,168.6,Residential,Poor,1,0,30.7,None,607.15,,,
2514,22-04-2024,83,235119,11602.61826,7,220165,Urban,27.8,154.3,84.7,Monsoon,Weekday,None,31635.68,187.83,2269.59,4921.79,50.6,14.2,13.4,13.5,5,27,3000,3616,2.94,25.144073,81.740557,Low,386,5.32,153.8,Highway,Good,0,1,52.1,None,470.24,,,
2515,14-04-2024,10,429363,6696.517381,7,105766,Urban,42.4,149.5,33.6,Summer,Weekday,None,60038.54,335.15,1383.95,6060.68,48,19.3,15.5,8.5,4,30,3000,6251.3,2.62,29.200336,86.667218,Medium,210,54.51,173.9,Highway,Good,0,0,11.1,None,858.73,,,
2516,10-07-2024,91,34114,20355.10902,5,318075,Urban,40.9,140.1,69.6,Monsoon,Weekday,None,4403.03,218.28,2656.6,4323.9,54.4,17.6,8.1,10.7,3,29,5000,1642.6,3.56,25.488557,71.917576,Medium,386,45,116.7,Highway,Average,0,0,11.3,None,68.23,,,
2517,17-01-2024,15,11030,1197.545034,3,77040,Urban,24.7,155.1,79.6,Monsoon,Weekday,None,1416.49,394.17,89.6,13379.49,44.8,20.3,16.1,6.9,3,40,3000,7008.4,5.9,17.129797,79.277021,Low,208,14.65,46.7,Highway,Good,0,0,14.1,Cyclone,22.06,,,
2518,29-04-2024,11,357195,17410.96404,3,164329,Urban,24.8,14.4,80.7,Winter,Weekday,None,49216.61,402.63,1168.7,12327.53,60.9,19.2,16.8,6.6,5,17,2000,6902.6,5.52,25.889455,70.368183,Medium,260,44.76,152.1,Highway,Average,0,0,20.1,None,714.39,,,
2519,08-05-2024,90,183501,15059.68386,7,198344,Urban,38.4,142.3,72.5,Monsoon,Weekday,None,24427.06,473.56,1706.45,12797.44,62,14.5,15.9,9,4,9,3000,7704.3,5.33,36.624627,80.190073,Medium,229,3.94,95.7,Residential,Average,0,0,38.8,Flood,367,,,
2520,09-05-2024,24,314887,4034.875942,6,442341,Rural,27.8,297.6,72.4,Summer,Weekend,None,43027.09,172.29,1597.34,6256.2,45.9,27.6,10.7,12.9,5,34,8000,4283.9,5.36,24.862413,77.642494,Medium,330,49.54,49.8,Residential,Average,0,0,25.6,None,629.77,,,
2521,29-02-2024,77,231941,4564.673585,3,115939,Urban,32.2,229.3,60.8,Summer,Weekday,None,31187.41,238.26,613.99,2056.54,40.8,20.8,9.8,10.1,4,4,2000,4672.8,3.28,14.875193,76.229041,Low,242,18.93,29.8,Main_Road,Poor,0,0,27,None,463.88,,,
2522,17-02-2024,96,392900,16651.0269,5,62801,Urban,27.7,86.3,57.1,Summer,Weekend,National_Festival,54555.3,324.64,874.98,9831.02,61.2,25.9,14.6,8.1,5,22,3000,2682.6,4.99,25.971476,84.955487,High,62,46.14,99.4,Highway,Good,0,0,18.1,None,785.8,,,
2523,29-01-2024,4,332759,8147.400396,3,418424,Urban,22.3,203.3,38.9,Winter,Weekday,None,45627.75,252.94,3312.59,10107.2,59.4,15.6,15.1,9.9,2,7,8000,7697.1,2.06,36.106812,72.368962,Medium,314,48.15,144.8,Main_Road,Average,1,1,31.9,None,665.52,,,
2524,06-04-2024,13,52577,7010.582915,5,77064,Urban,20.7,99,64.8,Summer,Weekend,None,6814.26,46.55,3134.02,6348.29,49.3,23.9,13.5,8.7,4,45,8000,1945.7,3.46,32.612494,81.982978,High,100,27.27,91,Main_Road,Average,0,1,12.1,None,105.15,,,
2525,10-01-2024,73,492800,1949.324341,7,53985,Urban,19.2,57.5,34.6,Winter,Weekday,None,69751.28,324.92,577,1191.4,63.3,16.6,5.7,5,6,1,3000,6726.3,4.7,14.516143,78.363015,Medium,220,27.95,16.2,Highway,Average,0,0,47.7,None,985.6,,,
2526,29-08-2024,57,377580,19278.83569,6,393940,Urban,15.3,232.1,60.4,Summer,Weekend,None,52265.98,59.47,1368.15,3445.39,67.9,14.7,13.4,6.5,6,21,8000,6400.9,2.88,23.752079,70.10073,Medium,128,39.44,77.9,Highway,Good,0,0,45.5,Cyclone,755.16,,,
2527,09-11-2024,98,7966,22125.46241,3,470831,Urban,23.4,62.9,77.5,Winter,Weekend,None,1022.25,421.15,684.73,388.74,40.6,21.2,9.7,5.7,2,4,5000,1363.1,3.06,14.958956,80.575123,Medium,496,19.33,58.4,Main_Road,Average,1,0,51.8,None,15.93,,,
2528,19-08-2024,37,396500,20586.18662,7,276349,Urban,20.1,257.6,58.8,Summer,Weekday,None,55093.71,46.02,2677.7,10778.42,45.9,16,8.7,9.3,6,11,5000,961.2,4.69,26.408956,96.491855,Low,260,53.6,143.1,Main_Road,Poor,0,0,8.6,Flood,793,,,
2529,03-10-2024,48,380982,11917.83593,6,371610,Urban,22.7,114.1,63,Winter,Weekday,None,52779.07,391.75,862.96,13345.97,46.3,18.1,19.7,9.5,5,19,2000,1336.8,4.21,19.04769,84.044138,Medium,70,21.27,99.2,Main_Road,Good,0,0,54.7,None,761.96,,,
2530,10-10-2024,71,8728,13581.93201,2,436196,Urban,17.3,227.1,84.7,Monsoon,Weekend,None,1120.29,79.77,323.59,13244.79,69.3,22.4,19.9,6.6,5,29,2000,7821.9,4.6,16.631757,84.857919,Low,151,42.84,113.9,Residential,Good,1,0,11.9,None,17.46,,,
2531,21-07-2024,1,173376,6435.766753,2,318693,Rural,25.2,77.9,72,Summer,Weekday,None,23032.2,371.66,3053.65,3738.88,49.2,24.1,5.2,7.9,5,36,8000,2444.9,4.31,15.964428,70.096741,High,249,35.98,76.3,Main_Road,Average,0,0,32.7,None,346.75,,,
2532,03-09-2024,60,447493,4734.941116,6,269138,Urban,30.6,195.8,38.3,Winter,Weekday,None,62776.06,16.42,2584.81,3223.99,62.8,13.9,16.4,14.8,3,11,8000,6715.3,5.8,17.325826,76.978507,Low,425,17.57,120.9,Main_Road,Good,0,0,50.8,None,894.99,,,
2533,16-10-2024,12,240189,20663.52878,7,382808,Rural,43.3,63.8,65.3,Winter,Weekday,National_Festival,32345.75,60.28,2744.34,7029.91,50.5,25.2,15.4,5.1,3,19,5000,1829.7,5.87,31.649952,84.914673,Medium,344,35.94,53.6,Residential,Average,0,1,17.8,None,480.38,,,
2534,20-09-2024,21,488546,20059.43193,2,62801,Rural,25.4,6.6,53.7,Winter,Weekend,National_Festival,69100.36,15.1,2725.81,3192.85,49.9,15.1,9.5,9,3,39,3000,2686,3.07,32.38281,80.142309,High,135,34.88,53.3,Residential,Average,0,0,10.8,None,977.09,,,
2535,01-08-2024,11,137019,19545.3158,2,426045,Rural,15.9,244.4,43.4,Winter,Weekend,None,18066.02,95.29,1786.25,2034.79,42.7,22.9,14.7,14.1,6,33,8000,5601.4,4.53,33.507856,74.922955,Medium,399,8.03,143.1,Main_Road,Average,0,0,28,Heatwave,274.04,,,
2536,18-07-2024,44,476317,11852.30301,2,494955,Rural,25.9,256.8,72.1,Summer,Weekday,National_Festival,67196.42,5.17,2450.85,2722.72,43.7,29.5,11.7,10.8,6,49,8000,2925.2,4.25,10.70245,69.823654,Low,111,35.44,114.4,Residential,Good,0,0,39.8,None,952.63,,,
2537,19-03-2024,58,348524,21680.44014,3,279665,Urban,39.5,264.2,55.1,Winter,Weekday,None,47932.94,47.77,2338.71,6419.58,62.1,10.2,8.4,7,5,48,3000,6422.3,2.21,12.293885,80.240094,Medium,114,37.29,119.9,Main_Road,Good,0,1,27.7,Heatwave,697.05,,,
2538,08-12-2024,44,333274,23192.6857,4,363524,Urban,25.2,10.9,79.9,Summer,Weekday,None,45702.86,17.4,3390.91,6904.68,45.7,16,12,14.4,2,23,5000,4268.2,2.54,12.810867,92.071469,High,7,38.48,61.5,Residential,Good,1,0,34.6,None,666.55,,,
2539,09-12-2024,78,26414,8544.436444,7,98442,Rural,23.8,228.3,68.1,Monsoon,Weekday,None,3403.39,220.02,95.24,9998.33,69.3,17.8,8.9,10.1,4,18,8000,1740.7,3.54,22.936832,91.234594,Low,240,19.35,74.2,Highway,Good,1,1,30.3,None,52.83,,,
2540,21-06-2024,98,494442,6005.015049,7,322649,Urban,42.6,250.8,36.8,Monsoon,Weekday,Local_Festival,70006.39,82.81,2137.48,14479.35,66.7,21.8,7.1,8.9,2,7,3000,2794.7,3.28,15.125335,85.824188,Medium,478,27.13,162,Highway,Good,1,1,53.5,Cyclone,988.88,,,
2541,09-03-2024,34,480276,11874.44425,5,390050,Urban,23.9,93.5,52.8,Monsoon,Weekday,None,67808.75,147.19,260.91,13683.09,56.4,20.7,19.7,13.2,3,6,5000,5088.2,3.22,30.158332,79.812969,Low,237,47.92,111.8,Residential,Average,1,0,53.5,None,960.55,,,
2542,27-03-2024,25,98005,4893.495739,6,371372,Urban,44.1,141.1,47.5,Summer,Weekday,Local_Festival,12819.47,135.15,2987.52,5452.85,65.9,24.3,11.6,11.1,4,26,5000,3852.8,2.74,34.261797,88.950776,Medium,243,45.4,157,Main_Road,Good,1,1,45.7,None,196.01,,,
2543,10-04-2024,4,417655,22158.07069,2,392273,Rural,40,122.4,39.7,Monsoon,Weekday,None,58266.63,416.32,795.75,2781.62,48.8,22.4,6.7,12.4,3,36,5000,4566.5,5.89,31.55805,87.780453,Low,265,43.85,83.6,Main_Road,Average,1,0,19.1,Flood,835.31,,,
2544,08-01-2024,64,358886,8780.767252,2,403839,Urban,35.5,132,82,Summer,Weekday,None,49469.96,85.84,1048.42,14455.1,46.7,21.7,15.2,6,5,39,5000,2821.2,5.51,19.756015,75.674785,Low,115,49.83,77.2,Main_Road,Good,0,0,52.4,None,717.77,,,
2545,28-11-2024,90,456436,14616.20877,3,113275,Urban,32.9,254,54.6,Monsoon,Weekend,None,64137.84,252,624.78,9932.05,62.3,17,7.8,11.3,6,49,5000,3589.7,2.2,21.247857,84.692892,Low,375,46.07,140.2,Highway,Good,1,0,23.2,None,912.87,,,
2546,18-07-2024,16,182857,15070.62765,4,341765,Rural,21.7,125.4,69.9,Monsoon,Weekday,None,24337.87,39.23,2059.86,8939.31,54.4,14.1,11.7,7.5,3,27,8000,4126.2,5.99,9.17887,94.582639,High,221,40.99,95.8,Residential,Good,1,1,18.5,None,365.71,,,
2547,27-03-2024,10,304117,13117.20307,4,257046,Urban,36.9,90.7,87.3,Summer,Weekday,None,41477.85,208.25,2978.37,7976.06,51.9,17.1,16.4,7.3,4,49,8000,2561.7,2.11,10.932663,77.859181,Medium,59,18.51,85.7,Main_Road,Average,0,0,18.8,None,608.23,,,
2548,12-02-2024,66,354235,4334.879881,3,235635,Urban,25.4,39.1,65.3,Monsoon,Weekday,None,48769.55,403.05,1250.83,5211.09,59.2,10.2,9.5,10,4,6,5000,2384.5,2.36,26.417409,69.199692,Low,412,54.4,81.8,Main_Road,Good,1,0,49.9,None,708.47,,,
2549,18-04-2024,35,209390,24779.51568,7,214487,Urban,29.6,202.5,46.8,Summer,Weekday,Local_Festival,28017.48,260.64,174.67,8970.86,62.2,14,17.6,13.1,4,47,5000,4258.9,4.63,11.912773,88.817356,Medium,387,29.05,66.5,Main_Road,Good,1,1,29.5,None,418.78,,,
2550,31-05-2024,83,204268,4728.779116,6,331682,Urban,18.1,25.3,81.4,Summer,Weekday,Local_Festival,27305.66,133.01,1247.84,6499.66,50.1,16.6,9.3,11.7,3,14,5000,601.7,2.66,26.75419,96.128183,High,114,39.21,78.8,Highway,Average,0,1,19.6,Flood,408.54,,,
2551,17-01-2024,6,250389,18911.93033,4,279641,Urban,23.9,18.4,58.3,Monsoon,Weekday,Local_Festival,33786.29,206.83,3105.61,7876.94,50.4,25.7,8.1,11.5,3,41,5000,7060.5,2.62,16.467074,86.036792,Medium,468,18.73,23.1,Highway,Good,0,0,48.4,Flood,500.78,,,
2552,12-05-2024,19,241232,19888.39041,5,381168,Urban,30.9,204.5,66.6,Summer,Weekday,National_Festival,32494.35,280.14,2201.05,7851.13,50.6,10.5,9.8,10.1,5,1,2000,1326.2,2.71,34.49459,89.054714,Medium,164,55.6,135.9,Main_Road,Good,1,0,34.6,None,482.46,,,
2553,27-05-2024,59,142161,4056.510855,6,65332,Rural,29,208.3,88.6,Winter,Weekday,None,18763.95,452.92,1859.24,452.06,68.4,10.3,7,7.6,4,22,8000,791.9,5.99,22.986592,83.330473,Low,489,4.85,62.5,Highway,Good,0,0,38.1,None,284.32,,,
2554,03-10-2024,53,206926,23362.50603,3,200234,Rural,25.3,59.7,61.8,Winter,Weekday,None,27677.45,419.75,541.27,5176.29,61.5,27.3,17.2,14,3,20,2000,2794.3,3.93,21.049746,77.043129,Low,316,57.49,119.2,Highway,Average,1,1,41.8,None,413.85,,,
2555,19-08-2024,8,329379,12450.08968,6,267948,Urban,29.2,287.2,51.8,Monsoon,Weekday,Local_Festival,45135.38,480.76,1985.84,2492.88,67.1,17.7,15.9,14.6,2,3,3000,3508.9,4.18,13.760346,88.182895,Medium,482,52.53,92.8,Highway,Good,1,0,40.6,Cyclone,658.76,,,
2556,09-11-2024,78,490357,15907.63248,6,336738,Rural,37.3,236.3,77.3,Winter,Weekday,Local_Festival,69377.03,93.46,1187.6,13190.21,42.7,10.4,14.1,13,4,30,3000,2081.8,4.61,35.297583,71.129034,Medium,185,51.93,29.9,Main_Road,Good,0,1,27.9,None,980.71,,,
2557,15-08-2024,10,34400,16233.55837,5,61793,Urban,28.8,205.9,38.7,Monsoon,Weekday,None,4440.22,103.12,2966.06,8625.44,54.8,29.7,6.3,7.4,6,9,2000,4803,5.46,32.496859,74.599236,Low,92,4.87,14.4,Highway,Good,1,0,39,None,68.8,,,
2558,18-05-2024,67,151477,12871.40058,5,332994,Urban,30.2,226.3,89.4,Summer,Weekday,None,20038.77,54.65,1609.91,6436.98,66,16,5.1,10.2,5,9,8000,1378.9,3.8,18.752315,83.863573,Medium,168,51.73,38.6,Residential,Average,1,1,26,Flood,302.95,,,
2559,29-07-2024,38,384384,3979.540081,6,246274,Rural,36,123.6,89.5,Summer,Weekday,Local_Festival,53290.33,256.69,1662.26,9917.35,54.6,27,19.8,5.9,2,17,8000,2852.6,3.34,24.641472,90.065536,High,259,46.91,71.9,Residential,Good,0,1,43.7,None,768.77,,,
2560,28-01-2024,29,57763,18917.95727,6,372582,Urban,40.2,136.7,67.7,Winter,Weekend,National_Festival,7495.52,94.46,2998.62,3114.88,64.7,23,18.4,7.1,6,21,8000,7473.3,2,22.549659,69.237466,Low,427,54.12,142.4,Highway,Good,1,1,20.6,None,115.53,,,
2561,20-02-2024,15,428425,14753.75296,3,73936,Rural,30.8,261.1,40,Winter,Weekend,None,59896.39,345.87,2064.63,4433.07,44.5,11.5,10.8,14.2,6,32,5000,2950.5,2.43,35.214196,80.510314,High,132,47.99,110.4,Highway,Poor,1,0,9.8,None,856.85,,,
2562,17-09-2024,87,209670,3407.675074,5,424586,Urban,43.4,7.6,59.4,Winter,Weekday,National_Festival,28056.08,478.36,320.75,4109.25,59.9,10.8,18.4,5.9,6,20,3000,6564.1,4.17,34.251697,73.04249,Low,11,3.85,131.9,Residential,Good,0,0,26.5,None,419.34,,,
